,tweet_date,processed_tweet_text
24130,2021-08-06,myanmar charity secretary detained covid vaccination
24154,2021-08-06,live covid rules relaxed fully vaccinated people aug
24158,2021-08-06,jennifer aniston defends decision cut unvaccinated people life
24166,2021-08-06,military destroying lives property people
24167,2021-08-06,protest military dictatorship atrocities people covid crisis staged people aye
24169,2021-08-06,junta uses covid weapons
24187,2021-08-06,phulone restaurant family mandalay donated chickens vegetables residents suffering
24188,2021-08-06,situation refugee camps kachin state
24193,2021-08-06,junta uses covid weapons
24203,2021-08-06,phulone restaurant family mandalay donated chickens vegetables residents suffering
24214,2021-08-06,junta uses covid weapons
24247,2021-08-06,myanmar charity secretary detained covid vaccination
24266,2021-08-06,junta uses covid weapons savemyanmarprisoners
24270,2021-08-06,local social welfare association called myintmyat zalun tsp got suspended evil sac gave pressure
24334,2021-08-06,useless self serving sac myanmar people forced find solutions people
24350,2021-08-06,reject military coup
24363,2021-08-06,forget change location singapore tonights party khub # sgforbright1stanni
24421,2021-08-06,wave covid natural disasters military dictator provide assistance
24424,2021-08-06,covid cases began rise idp camps kareni state loikaw refugees continue face lack provisions
24427,2021-08-06,people myanmar suffering military dictatorship covid disease urgent
24431,2021-08-06,situation refugee camps kachin state
24439,2021-08-06,junta uses covid weapons
24450,2021-08-06,people people programme pro democracy youths mandalay donated need combin
24452,2021-08-06,seri lady based lose weight treat menses cramp treat white discharge curb appetite regulate menses
24455,2021-08-06,protest military dictatorship atrocities people covid crisis staged people aye
24464,2021-08-06,
24476,2021-08-06,junta uses covid weapons
24477,2021-08-06,junta uses covid weapons savemyanmarprisoners
24478,2021-08-06,covid crisis myanmar
24479,2021-08-06,military dictator provide effective medical care people people trying cure
24480,2021-08-06,
24482,2021-08-06,
24486,2021-08-06,wave covid natural disasters military dictator provide assistance
24489,2021-08-06,phulone restaurant family mandalay donated chickens vegetables residents suffering
24490,2021-08-06,situation refugee camps kachin state
24492,2021-08-06,covid wave hit like tsunami warns
24498,2021-08-06,phulone restaurant family mandalay donated chickens vegetables residents suffering
24499,2021-08-06,situation refugee camps kachin state
24515,2021-08-06,seri lady based lose weight treat menses cramp treat white discharge curb appetite regulate menses
24520,2021-08-06,junta uses covid weapons
24540,2021-08-06,reject military coup
24555,2021-08-06,myanmar civilians humans urgent need humanitarian aids coup covid disaster slowly
24559,2021-08-06,
24561,2021-08-06,pregnant women facing difficulties brutalities junta covid pandemic long
24562,2021-08-06,military dictator provide effective medical care people people trying cure
24563,2021-08-06,
24564,2021-08-06,covid crisis myanmar need help covid
24568,2021-08-06,
24581,2021-08-06,myanmar civilians humans urgent need humanitarian aids coup covid disaster slowly
24587,2021-08-06,
24602,2021-08-06,suppo nug
24611,2021-08-06,myanmar civilians humans urgent need humanitarian aids coup covid disaster slowly
24613,2021-08-06,
24624,2021-08-06,junta uses covid weapons savemyanmarprisoners
24639,2021-08-06,junta uses covid weapons
24647,2021-08-06,
24651,2021-08-06,monywa //2021 * mya ppl donation strike * suppo nug
24654,2021-08-06,suppo nug
24662,2021-08-06,people myanmar suffering military dictatorship covid disease urgent
24667,2021-08-06,suppo nug
24669,2021-08-06,
24681,2021-08-06,singapore prepared covid infections deaths reopening
24690,2021-08-06,drunk sac terrorist recklessly shot innocent man going buy medicine education office
24694,2021-08-06,covid cases began rise idp camps kareni state loikaw refugees continue face lack provisions
24717,2021-08-06,junta uses covid weapons
24720,2021-08-06,junta uses covid weapons
24728,2021-08-06,junta uses covid weapons
24733,2021-08-06,
24737,2021-08-06,myanmar civilians humans urgent need humanitarian aids coup covid disaster slowly
24738,2021-08-06,
24740,2021-08-06,situation refugee camps kachin state
24756,2021-08-06,junta uses covid weapons
24761,2021-08-06,junta uses covid weapons
24766,2021-08-06,suppo nug
24767,2021-08-06,myanmar civilians humans urgent need humanitarian aids coup covid disaster slowly
24768,2021-08-06,
24778,2021-08-06,mps malaysia lawan lawan lawan mps singapore
24801,2021-08-06,junta uses covid weapons
24805,2021-08-06,junta uses covid weapons savemyanmarprisoners
24806,2021-08-06,myanmar civilians humans urgent need humanitarian aids coup covid disaster slowly
24809,2021-08-06,
24815,2021-08-06,suppo nug
24934,2021-08-06,junta forced social welfare associations myint myat social welfare associa
24986,2021-08-06,
24987,2021-08-06,suppo nug
24991,2021-08-06,junta uses covid weapons
25196,2021-08-06,myanmar civilians humans urgent need humanitarian aids coup covid disaster slowly
25197,2021-08-06,suppo nug
25211,2021-08-06,awak lawa harini alang alang cucuk vaccine kita terus keluar
25310,2021-08-06,joal ong aka edison chen whdpfdh
25347,2021-08-06,drunk sac terrorist recklessly shot innocent man going buy medicine education office
25351,2021-08-06,covid cases began rise idp camps kareni state loikaw refugees continue face lack provisions
25417,2021-08-06,
25419,2021-08-06,myanmar civilians humans urgent need humanitarian aids coup covid disaster slowly
25420,2021-08-06,suppo nug
25488,2021-08-07,madam pleased let know poster displayed outside hair beauty salon singapo
25529,2021-08-07,sore armsss jab today kind horny soul like help shower
25539,2021-08-07,good morning everyone~ stay safe stay healthy~
25543,2021-08-07,eto yung source
25658,2021-08-07,spread covid variant people reassessing daily activities doctors share diffe
25760,2021-08-07,happy birthday
25768,2021-08-07,suppo nug
25777,2021-08-07,reject military coup
25791,2021-08-07,
25815,2021-08-07,covid cases began rise idp camps kareni state loikaw refugees continue face lack provisions
25824,2021-08-07,phulone restaurant family mandalay donated chickens vegetables residents suffering
25829,2021-08-07,
25833,2021-08-07,vaccination update hour hours
26046,2021-08-07,secrets curses legends disneys weekend book tickets
26054,2021-08-07,good morning friends mark date tomorrow singapore timing hear discussing
26150,2021-08-07,junta uses covid weapons
26170,2021-08-07,junta uses covid weapons
26180,2021-08-07,
26193,2021-08-07,find decomposition notebooks singapore
26272,2021-08-10,
26283,2021-08-10,29yo singapore chastity slut craving cum begging exposed
26615,2021-08-10,buddhist monks staged regular strikes military coup prayed safety people covid coup
26627,2021-08-10,heres stars celebrated national day
26736,2021-08-10,covid crisis myanmar need help covid
26744,2021-08-10,covid crisis myanmar need help covid
26754,2021-08-10,covid crisis myanmar need help covid
26809,2021-08-10,fighting pandemics poor leadership
26815,2021-08-10,covid crisis myanmar need help covid
26860,2021-08-10,junta terrorists ridiculous usual legalization nug
26908,2021-08-10,junta terrorists ridiculous legalization nug
26915,2021-08-10,instead building covid centres oxygen plants help current situation citiz
26940,2021-08-10,junta terrorists ridiculous usual legalization nug
26943,2021-08-10,instead building covid centres oxygen plants help current situation citiz
26951,2021-08-10,covid crisis myanmar need help covid
26992,2021-08-10,covid crisis myanmar need help covid
26997,2021-08-10,junta terrorists ridiculous usual legalization nug
27005,2021-08-10,instead building covid centres oxygen plants help current situation citiz
27037,2021-08-10,junta terrorists ridiculous usual legalization nug
27040,2021-08-10,beautiful country singapore
27085,2021-08-10,/ / sub #
27092,2021-08-10,covid crisis myanmar need help covid
27101,2021-08-10,junta terrorists ridiculous usual legalization nug
27108,2021-08-10,instead building covid centres oxygen plants help current situation citiz
27167,2021-08-10,junta terrorists ridiculous usual legalization nug
27175,2021-08-10,instead building covid centres oxygen plants help current situation citiz
27225,2021-08-10,disappointed batswana behaving ski foundation found reeditse gab
27257,2021-08-10,instead building covid centres oxygen plants help current situation citiz
27264,2021-08-10,singapore swimming restroom content let flow sure eat drop thick
27268,2021-08-10,covid crisis myanmar need help covid
27281,2021-08-10,instead building covid centres oxygen plants help current situation citiz
27283,2021-08-10,covid crisis myanmar need help covid
27285,2021-08-10,junta terrorists ridiculous usual legalization nug
27289,2021-08-10,instead building covid centres oxygen plants help current situation citiz
27295,2021-08-10,people trouble military dictator covid need help
27304,2021-08-10,people trouble military dictator covid need help
27305,2021-08-10,pike thin myaing sac kidnapped innocent youths
27308,2021-08-10,people trouble military dictator covid need help
27313,2021-08-10,people trouble military dictator covid need help
27380,2021-08-10,people trouble military dictator covid need help
27382,2021-08-10,legalization nug
27384,2021-08-10,legalization nug
27392,2021-08-10,legalization nug
27420,2021-08-10,covid crisis myanmar need help covid
27423,2021-08-10,junta terrorists ridiculous usual legalization nug
27426,2021-08-10,instead building covid centres oxygen plants help current situation citiz
27431,2021-08-10,people trouble military dictator covid need help
27433,2021-08-10,legalization nug
27436,2021-08-10,people trouble military dictator covid need help
27442,2021-08-10,
27446,2021-08-10,coup military terrorist abducting drs teachers opposing accused
27454,2021-08-10,coup military terrorist abducting drs teachers opposing accused
27477,2021-08-10,hair stylist lovely told life story adopting stray dog getting abortion
27490,2021-08-10,
27497,2021-08-10,legalization nug
27499,2021-08-10,
27577,2021-08-10,
27593,2021-08-10,covid crisis myanmar need help covid
27607,2021-08-10,junta terrorists ridiculous usual legalization nug
27613,2021-08-10,instead building covid centres oxygen plants help current situation citiz
27626,2021-08-10,people trouble military dictator covid need help
27632,2021-08-10,legalization nug
27643,2021-08-10,
27647,2021-08-10,
27701,2021-08-10,universal mummy #
27714,2021-08-10,junta terrorists ridiculous usual legalization nug
27722,2021-08-10,instead building covid centres oxygen plants help current situation citiz
27733,2021-08-10,people trouble military dictator covid need help
27738,2021-08-10,legalization nug
27741,2021-08-10,mgmgnyeinhtun death lack treatment
27742,2021-08-10,
27776,2021-08-10,legalization nug
27782,2021-08-10,
27789,2021-08-10,amazon introduce % surcharge visa credit card transactions singapore sept
27793,2021-08-10,
27812,2021-08-10,baltimores vaccine campaign hilarious vax debra
27846,2021-08-10,yay happy day thanks adopting
27894,2021-08-10,covid crisis myanmar need help covid
27902,2021-08-10,junta terrorists ridiculous usual legalization nug
27926,2021-08-10,karen national union knu brigade brigade commander brigadier general saw palit passed away early morni
27986,2021-08-10,nowadays height getting attention @ blk banda street singapore
28032,2021-08-10,/ / sub #
28048,2021-08-10,youths political prisoners need help proper medical attention treat
28049,2021-08-10,covid crisis myanmar need help covid
28053,2021-08-10,adventure sighted port bow miss chance board jungle cruise immersive adv
28059,2021-08-10,help stop covid spread legalization nug
28060,2021-08-10,junta terrorists ridiculous usual legalization nug
28064,2021-08-10,instead building covid centres oxygen plants help current situation citiz
28069,2021-08-10,people trouble military dictator covid need help
28070,2021-08-10,legalization nug
28073,2021-08-10,
28080,2021-08-10,help stop covid spread legalization nug
28083,2021-08-10,youths political prisoners need help proper medical attention treat
28084,2021-08-10,youths political prisoners need help proper medical attention treat
28085,2021-08-10,help stop covid spread legalization nug
28087,2021-08-10,
28091,2021-08-10,junta terrorists ridiculous usual legalization nug
28100,2021-08-10,instead building covid centres oxygen plants help current situation citiz
28105,2021-08-10,people trouble military dictator covid need help
28107,2021-08-10,legalization nug
28116,2021-08-10,
28121,2021-08-10,help stop covid spread legalization nug
28122,2021-08-10,youths political prisoners need help proper medical attention treat
28142,2021-08-10,covid crisis myanmar need help covid
28155,2021-08-10,covid crisis myanmar need help covid
28160,2021-08-10,junta terrorists ridiculous usual legalization nug
28165,2021-08-10,instead building covid centres oxygen plants help current situation citiz
28166,2021-08-10,junta terrorists ridiculous usual legalization nug
28174,2021-08-10,legalization nug
28182,2021-08-10,people trouble military dictator covid need help
28184,2021-08-10,people trouble military dictator covid need help
28186,2021-08-10,instead building covid centres oxygen plants help current situation citiz
28187,2021-08-10,legalization nug
28189,2021-08-10,help stop covid spread legalization nug
28190,2021-08-10,youths political prisoners need help proper medical attention treat
28199,2021-08-10,people trouble military dictator covid need help
28201,2021-08-10,legalization nug
28219,2021-08-10,help stop covid spread legalization nug
28222,2021-08-10,youths political prisoners need help proper medical attention treat
28228,2021-08-10,junta terrorists ridiculous usual legalization nug
28240,2021-08-10,
28250,2021-08-10,help stop covid spread legalization nug
28258,2021-08-10,youths political prisoners need help proper medical attention treat
28260,2021-08-10,legalization nug
28261,2021-08-10,legalization nug
28285,2021-08-10,youths political prisoners need help proper medical attention treat
28337,2021-08-10,youths political prisoners need help proper medical attention treat
28338,2021-08-10,help stop covid spread legalization nug
28340,2021-08-10,legalization nug
28342,2021-08-10,legalization nug
28343,2021-08-10,youths political prisoners need help proper medical attention treat
28354,2021-08-10,help stop covid spread legalization nug
28355,2021-08-10,youths political prisoners need help proper medical attention treat
28412,2021-08-10,singapore today started allowing fully vaccinated diners restaurants max
28414,2021-08-10,covid crisis myanmar need help covid
28423,2021-08-10,people trouble military dictator covid need help
28426,2021-08-10,legalization nug
28431,2021-08-10,
28437,2021-08-10,help stop covid spread legalization nug
28440,2021-08-10,youths political prisoners need help proper medical attention treat
28441,2021-08-10,instead building covid centres oxygen plants help current situation citiz
28470,2021-08-10,karen national union knu brigade brigade commander brigadier general saw palit passed away early morni
28472,2021-08-10,youths political prisoners need help proper medical attention treat
28487,2021-08-10,people trouble military dictator covid need help
28490,2021-08-10,youths political prisoners need help proper medical attention treat
28493,2021-08-10,help stop covid spread legalization nug
28499,2021-08-10,
28508,2021-08-10,legalization nug
28510,2021-08-10,people trouble military dictator covid need help
28528,2021-08-10,instead building covid centres oxygen plants help current situation citiz
28530,2021-08-10,military led reportedly soldiersin trial
28541,2021-08-10,covid crisis myanmar need help covid
28594,2021-08-10,
28605,2021-08-10,legalization nug
28609,2021-08-10,
28641,2021-08-10,legalization nug
28682,2021-08-10,korean jett vid
28837,2021-08-10,covid crisis myanmar need help covid
28839,2021-08-10,covid crisis myanmar need help covid
28843,2021-08-10,covid facts cdc biden administration want hear
28845,2021-08-10,junta terrorists ridiculous usual legalization nug
28867,2021-08-10,people trouble military dictator covid need help
28873,2021-08-10,legalization nug
28881,2021-08-10,
28889,2021-08-10,help stop covid spread legalization nug
28892,2021-08-10,youths political prisoners need help proper medical attention treat
28894,2021-08-10,
28896,2021-08-10,legalization nug
28898,2021-08-10,
28900,2021-08-10,
28905,2021-08-10,sac terrorists shot dead aung zay youth pikethin village myaing tsp magway yesterday tor
28921,2021-08-10,amazon introduce % surcharge visa credit card transactions singapore sept
28941,2021-08-10,
28958,2021-08-10,
28962,2021-08-10,covid crisis myanmar need help covid
28965,2021-08-10,
28968,2021-08-10,legalization nug
28970,2021-08-10,
29030,2021-08-10,junta terrorists ridiculous usual legalization nug
29048,2021-08-10,instead building covid centres oxygen plants help current situation citiz
29058,2021-08-10,sac terrorists shot dead aung zay youth pikethin village myaing tsp magway yesterday tor
29066,2021-08-10,people trouble military dictator covid need help
29070,2021-08-10,legalization nug
29085,2021-08-10,
29090,2021-08-10,help stop covid spread legalization nug
29096,2021-08-10,myanmar idps need humanitarian supports
29097,2021-08-10,
29098,2021-08-10,youths political prisoners need help proper medical attention treat
29100,2021-08-10,
29102,2021-08-10,
29104,2021-08-10,help stop covid spread legalization nug
29105,2021-08-10,myanmar idps need humanitarian supports
29106,2021-08-10,legalization nug
29107,2021-08-10,legalization nug
29109,2021-08-10,youths political prisoners need help proper medical attention treat
29111,2021-08-10,
29114,2021-08-10,
29118,2021-08-10,myanmar idps need humanitarian supports
29130,2021-08-10,legalization nug
29131,2021-08-10,myanmar idps need humanitarian supports
29142,2021-08-10,
29159,2021-08-10,youths political prisoners need help proper medical attention treat
29167,2021-08-10,
29175,2021-08-10,legalization nug
29177,2021-08-10,
29179,2021-08-10,buddhist monks staged anti coup strike chanting sermons legalization nug
29184,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
29207,2021-08-10,myanmar idps need humanitarian supports
29291,2021-08-10,
29296,2021-08-10,buddhist monks staged anti coup strike chanting sermons legalization nug
29297,2021-08-10,legalization nug
29298,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
29300,2021-08-10,
29302,2021-08-10,myanmar idps need humanitarian supports
29307,2021-08-10,buddhist monks staged anti coup strike chanting sermons legalization nug
29309,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
29315,2021-08-10,buddhist monks staged anti coup strike chanting sermons legalization nug
29347,2021-08-10,
29352,2021-08-10,legalization nug
29358,2021-08-10,myanmar idps need humanitarian supports
29362,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
29364,2021-08-10,buddhist monks staged anti coup strike chanting sermons legalization nug
29365,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
29379,2021-08-10,buddhist monks staged anti coup strike chanting sermons legalization nug
29389,2021-08-10,legalization nug
29392,2021-08-10,legalization nug
29393,2021-08-10,legalization nug
29461,2021-08-10,sac terrorists shot dead aung zay youth pikethin village myaing tsp magway yesterday tor
29480,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
29486,2021-08-10,buddhist monks staged anti coup strike chanting sermons legalization nug
29493,2021-08-10,myanmar idps need humanitarian supports
29497,2021-08-10,
29499,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
29508,2021-08-10,myanmar idps need humanitarian supports
29509,2021-08-10,myanmar idps need humanitarian supports
29515,2021-08-10,
29519,2021-08-10,// death sac terrorists shot dead youth pikethin village myaing tsp magway yesterday
29520,2021-08-10,legalization nug
29521,2021-08-10,legalization nug
29525,2021-08-10,
29526,2021-08-10,
29529,2021-08-10,youths political prisoners need help proper medical attention treat
29531,2021-08-10,help stop covid spread legalization nug
29542,2021-08-10,
29543,2021-08-10,legalization nug
29547,2021-08-10,
29551,2021-08-10,myanmar idps need humanitarian supports
29553,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
29559,2021-08-10,buddhist monks staged anti coup strike chanting sermons legalization nug
29560,2021-08-10,buddhist monks staged anti coup strike chanting sermons legalization nug
29561,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
29587,2021-08-10,ngeih tling pastors wife falan tsp died shot sac terrorists arbitrary gunshot
29633,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
29643,2021-08-10,myanmar idps need humanitarian supports
29673,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
29727,2021-08-10,legalization nug
29739,2021-08-10,help stop covid spread legalization nug
29745,2021-08-10,
29796,2021-08-10,shot far missed hot cum landed face haha
29802,2021-08-10,ngeih tling pastors wife falan tsp died shot sac terrorists arbitrary gunshot
29817,2021-08-10,posted video @ east coast singapore
29840,2021-08-10,legalization nug
29847,2021-08-10,myanmar idps need humanitarian supports
29859,2021-08-10,buddhist monks staged anti coup strike chanting sermons legalization nug
29869,2021-08-10,junta handle covid happy dying
29874,2021-08-10,covid crisis myanmar need help covid
29880,2021-08-10,junta terrorists ridiculous usual legalization nug
29887,2021-08-10,
29903,2021-08-10,instead building covid centres oxygen plants help current situation citiz
29912,2021-08-10,people trouble military dictator covid need help
29919,2021-08-10,help stop covid spread legalization nug
29922,2021-08-10,youths political prisoners need help proper medical attention treat
29923,2021-08-10,
29924,2021-08-10,help stop covid spread legalization nug
29926,2021-08-10,legalization nug
29928,2021-08-10,
29930,2021-08-10,myanmar idps need humanitarian supports
29935,2021-08-10,myanmar idps need humanitarian supports
29940,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
29943,2021-08-10,buddhist monks staged anti coup strike chanting sermons legalization nug
29944,2021-08-10,junta handle covid happy dying
29945,2021-08-10,junta handle covid happy dying
29952,2021-08-10,instead building covid centres oxygen plants help current situation citiz
29958,2021-08-10,legalization nug
29960,2021-08-10,legalization nug
29966,2021-08-10,people trouble military dictator covid need help
29978,2021-08-10,legalization nug
30038,2021-08-10,help stop covid spread legalization nug
30040,2021-08-10,youths political prisoners need help proper medical attention treat
30065,2021-08-10,legalization nug
30067,2021-08-10,
30079,2021-08-10,junta handle covid happy dying
30095,2021-08-10,buddhist monks staged anti coup strike chanting sermons legalization nug
30099,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
30106,2021-08-10,junta handle covid happy dying
30128,2021-08-10,junta handle covid happy dying
30179,2021-08-10,myanmar idps need humanitarian supports
30185,2021-08-10,junta handle covid happy dying
30187,2021-08-10,shot far missed hot cum landed face haha
30190,2021-08-10,sac terrorists shot dead aung zay youth pikethin village myaing tsp magway yesterday tor
30200,2021-08-10,ngeih tling pastors wife falan tsp died shot sac terrorists arbitrary gunshot
30212,2021-08-10,junta handle covid happy dying
30223,2021-08-10,moderna vaccine superior pfizer vaccine covid delta variant reports
30231,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
30237,2021-08-10,junta handle covid happy dying
30287,2021-08-10,amid covid crisis lot civilians sagaing region including kani depayin flee massacres junt
30302,2021-08-10,amid covid crisis lot civilians sagaing region including kani depayin flee massacres junt
30305,2021-08-10,junta handle covid happy dying
30351,2021-08-10,legalization nug
30358,2021-08-10,residents tsp staged protest march streets overthrow military dictatorship despite
30360,2021-08-10,protest staged inside obo prison mandalay night chants lasted mins protesters presumably
30361,2021-08-10,
30362,2021-08-10,greed selfishness junta resulted loss valuable people country
30363,2021-08-10,
30365,2021-08-10,covid crisis myanmar need help covid
30366,2021-08-10,junta terrorists ridiculous usual legalization nug
30369,2021-08-10,
30371,2021-08-10,help stop covid spread legalization nug
30375,2021-08-10,youths political prisoners need help proper medical attention treat
30376,2021-08-10,legalization nug
30377,2021-08-10,
30380,2021-08-10,covid crisis myanmar need help covid
30382,2021-08-10,junta terrorists ridiculous usual legalization nug
30384,2021-08-10,instead building covid centres oxygen plants help current situation citiz
30386,2021-08-10,junta handle covid happy dying
30389,2021-08-10,people trouble military dictator covid need help
30391,2021-08-10,amid covid crisis lot civilians sagaing region including kani depayin flee massacres junt
30419,2021-08-10,youths political prisoners need help proper medical attention treat
30431,2021-08-10,buddhist monks staged anti coup strike chanting sermons legalization nug
30542,2021-08-10,ngeih tling pastors wife falan tsp died shot sac terrorists arbitrary gunshot
30549,2021-08-10,myanmar civilians confronting dictators dreadful covid
30563,2021-08-10,myanmar civilians confronting dictators dreadful covid
30568,2021-08-10,myanmar civilians confronting dictators dreadful covid
30572,2021-08-10,myanmar civilians confronting dictators dreadful covid
30594,2021-08-10,myanmar civilians confronting dictators dreadful covid
30595,2021-08-10,junta handle covid happy dying
30601,2021-08-10,myanmar civilians confronting dictators dreadful covid
30603,2021-08-10,junta handle covid happy dying
30609,2021-08-10,myanmar civilians confronting dictators dreadful covid
30619,2021-08-10,myanmar civilians confronting dictators dreadful covid
30625,2021-08-10,myanmar civilians confronting dictators dreadful covid
30627,2021-08-10,amid covid crisis lot civilians sagaing region including kani depayin flee massacres junt
30672,2021-08-10,myanmar civilians confronting dictators dreadful covid
30685,2021-08-10,covid crisis myanmar need help covid
30689,2021-08-10,junta terrorists ridiculous usual legalization nug
30693,2021-08-10,instead building covid centres oxygen plants help current situation citiz
30710,2021-08-10,myanmar civilians confronting dictators dreadful covid
30712,2021-08-10,myanmar civilians confronting dictators dreadful covid
30724,2021-08-10,help stop covid spread legalization nug
30726,2021-08-10,junta handle covid happy dying
30729,2021-08-10,legalization nug
30732,2021-08-10,
30740,2021-08-10,myanmar civilians confronting dictators dreadful covid
30743,2021-08-10,junta handle covid happy dying
30754,2021-08-10,buddhist monks staged anti coup strike chanting sermons legalization nug
30758,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
30764,2021-08-10,junta handle covid happy dying
30767,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
30794,2021-08-10,ngeih tling yrs old woman shot military terrorists lonpe ward falam morning diets
30809,2021-08-10,ngeih tling yrs old woman shot military terrorists lonpe ward falam morning diets
30820,2021-08-10,military led reportedly soldiersin trial covaxin covid vaccin
30823,2021-08-10,military led reportedly soldiersin trial covaxin covid vaccin
30828,2021-08-10,ngeih tling yrs old woman shot military terrorists lonpe ward falam morning diets
30829,2021-08-10,military led reportedly soldiersin trial covaxin covid vaccin
30840,2021-08-10,military led reportedly soldiersin trial covaxin covid vaccin
30849,2021-08-10,myanmar civilians confronting dictators dreadful covid
30855,2021-08-10,took power feb single person country lost personal
30859,2021-08-10,myanmar civilians confronting dictators dreadful covid
30865,2021-08-10,ngeih tling yrs old woman shot military terrorists lonpe ward falam morning diets
30867,2021-08-10,military led reportedly soldiersin trial covaxin covid vaccin
30870,2021-08-10,military led reportedly soldiersin trial covaxin covid vaccin
30872,2021-08-10,ngeih tling yrs old woman shot military terrorists lonpe ward falam morning diets
30875,2021-08-10,ngeih tling yrs old woman shot military terrorists lonpe ward falam morning diets
30896,2021-08-10,military led reportedly soldiersin trial covaxin covid vaccin
30906,2021-08-10,myanmar civilians confronting dictators dreadful covid
30935,2021-08-10,ngeih tling pastors wife falan tsp died shot sac terrorists arbitrary gunshot
30952,2021-08-10,myanmar civilians confronting dictators dreadful covid
30955,2021-08-10,myanmar civilians confronting dictators dreadful covid
30956,2021-08-10,junta handle covid happy dying
30959,2021-08-10,military led reportedly soldiersin trial covaxin covid vaccin
30961,2021-08-10,military dictator opened fires heavy weapons unarmed civilians died injured legalization nug
30962,2021-08-10,myanmar civilians confronting dictators dreadful covid
30964,2021-08-10,ngeih tling yrs old woman shot military terrorists lonpe ward falam morning diets
30965,2021-08-10,military led reportedly soldiersin trial covaxin covid vaccin
30968,2021-08-10,myanmar civilians confronting dictators dreadful covid
30970,2021-08-10,seriously require r2p
30971,2021-08-10,junta uses covid weapons
30973,2021-08-10,
30974,2021-08-10,seriously require r2p
30975,2021-08-10,// wound seriously require r2p
30977,2021-08-10,seriously require r2p
30978,2021-08-10,junta uses covid weapons
30979,2021-08-10,
31001,2021-08-10,
31038,2021-09-16,
31039,2021-09-16,military terrorists brutally shot dead innocent person
31051,2021-09-16,military terrorists brutally shot dead innocent person
31052,2021-09-16,
31067,2021-09-16,
31212,2021-09-16,update conditions cases myanmar
31314,2021-09-16,military terrorists brutally shot dead innocent person
31336,2021-09-16,military terrorists brutally shot dead innocent person
31337,2021-09-16,
31396,2021-09-16,
31411,2021-09-16,update conditions cases myanmar
31413,2021-09-16,sac forcibly stormed sanpya village myaing tsp forces shot dead
31443,2021-09-16,sep15 man killed sac village tsp mon state sac opened fire youths
31452,2021-09-16,sep15 man killed sac village tsp mon state sac opened fire youths
31455,2021-09-16,person shot dead youths abducted sac latha tsp yangon sep15 terrorists raided
31457,2021-09-16,people chanmyatharsi demonstrated coalition strike military dictatorship today freely wavi
31458,2021-09-16,woman shot leg injured terrorist troops randomly opened fire near sethaw kale tsp sep
31468,2021-09-16,military terrorists brutally shot dead innocent person
31470,2021-09-16,
31479,2021-09-16,people chanmyatharsi demonstrated coalition strike military dictatorship today freely wavi
31521,2021-09-16,singapore followers
31545,2021-09-16,woman shot leg injured terrorist troops randomly opened fire near sethaw kale tsp sep
31557,2021-09-16,sep15 man killed sac village tsp mon state sac opened fire youths
31558,2021-09-16,person shot dead youths abducted sac latha tsp yangon sep15 terrorists raided
31559,2021-09-16,woman shot leg injured terrorist troops randomly opened fire near sethaw kale tsp sep
31625,2021-09-16,sep15 man killed sac village tsp mon state sac opened fire youths
31626,2021-09-16,person shot dead youths abducted sac latha tsp yangon sep15 terrorists raided
31627,2021-09-16,woman shot leg injured terrorist troops randomly opened fire near sethaw kale tsp sep
31646,2021-09-16,sep15 man killed sac village tsp mon state sac opened fire youths
31650,2021-09-16,person shot dead youths abducted sac latha tsp yangon sep15 terrorists raided
31652,2021-09-16,woman shot leg injured terrorist troops randomly opened fire near sethaw kale tsp sep
31662,2021-09-16,update conditions cases myanmar
31668,2021-09-16,terrorists sac continuously killing people everyday beginning coup
31683,2021-09-16,military terrorists brutally shot dead innocent person
31701,2021-09-16,person shot dead youths abducted sac latha tsp yangon sep15 terrorists raided
31702,2021-09-16,woman shot leg injured terrorist troops randomly opened fire near sethaw kale tsp sep
31745,2021-09-16,person shot dead youths abducted sac latha tsp yangon sep15 terrorists raided
31749,2021-09-16,woman shot leg injured terrorist troops randomly opened fire near sethaw kale tsp sep
31806,2021-09-16,sep15 man killed sac village tsp mon state sac opened fire youths
31807,2021-09-16,person shot dead youths abducted sac latha tsp yangon sep15 terrorists raided
31810,2021-09-16,woman shot leg injured terrorist troops randomly opened fire near sethaw kale tsp sep
